rank,ticker,sector,official_model_weighting,candidate_category,candidate_label,lbo_status,lbo_rating,final_score,nlp_stagnation_score,financial_feasibility_score,fcf_margin,fcf,debt_to_ebitda,interest_coverage,capex_to_ebitda,fcf_to_debt,has_market_data,market_pressure_score,validation_score,validation_label,strong_validation_label,relative_return_vs_spy,max_drawdown_since_ranking,volatility_since_ranking,event_type,event_score,event_date,event_summary,source,notes,model_explanation
18,MCHP,Information Technology,70% NLP stagnation / 30% financial feasibility,Strong candidate,Review candidate,Pass,Ideal,0.7546,0.7051,0.87,0.3715,3134800000.0,1.458,12.125,0.118,0.522,0,,2.0,1,1,,,,restructuring_layoffs,2,2025-03-03,"Microchip Technology announced around 2,000 job cuts, about 9% of workforce, amid weak demand.",Reuters,Clear restructuring and layoff evidence.,MCHP ranks #18 under the official 70/30 NLP-finance model. NLP stagnation score is 0.705. Financial feasibility score is 0.870. Final score is 0.755. Manual event validation records 'restructuring_layoffs' with event score 2. Market validation data is not currently available.
19,NVDA,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7534,0.6563,0.98,0.4435,27021000000.0,0.0,139.712,0.031,,1,2.0,3.0,1,1,0.1848,-0.3688,0.466,regulatory_pressure,1,2024-08-01,Nvidia faced antitrust and regulatory scrutiny over AI-chip dominance and related acquisitions.,Reuters,"Regulatory pressure, not restructuring.",NVDA ranks #19 under the official 70/30 NLP-finance model. NLP stagnation score is 0.656. Financial feasibility score is 0.980. Final score is 0.753. Manual event validation records 'regulatory_pressure' with event score 1. The company shows 2 market-pressure signal(s). Maximum drawdown was -36.9%. Relative return vs SPY was 18.5%.
20,FAST,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7516,0.6901,0.895,0.1715,1259900000.0,0.117,157.598,0.101,6.3,1,0.0,1.0,1,0,0.0535,-0.219,0.2604,market_pressure,1,2026-01-20,Fastenal missed revenue estimates as tariffs pressured demand.,Reuters,Market and financial pressure.,FAST ranks #20 under the official 70/30 NLP-finance model. NLP stagnation score is 0.690. Financial feasibility score is 0.895. Final score is 0.752. Manual event validation records 'market_pressure' with event score 1. No market-pressure signal is currently flagged. Maximum drawdown was -21.9%. Relative return vs SPY was 5.3%.
21,RCL,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Marginal,0.7514,0.827,0.575,0.0417,580000000.0,0.37,2.228,0.899,0.362,0,,1.0,1,0,,,,financial_pressure,1,2026-04-30,Royal Caribbean cut profit forecast due to higher fuel costs despite strong demand.,Reuters,Financial pressure.,RCL ranks #21 under the official 70/30 NLP-finance model. NLP stagnation score is 0.827. Financial feasibility score is 0.575. Final score is 0.751. Manual event validation records 'financial_pressure' with event score 1. Market validation data is not currently available.
22,CCI,Real Estate,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Situational,0.7498,0.6897,0.89,6.7325,2883000000.0,0.231,111.989,0.093,4.781,0,,2.0,1,1,,,,activist_restructuring,2,2024-06-11,"Crown Castle cut profit forecast, reduced workforce, and reviewed fiber business after activist pressure.",Reuters / company releases,Clear activist and restructuring validation.,CCI ranks #22 under the official 70/30 NLP-finance model. NLP stagnation score is 0.690. Financial feasibility score is 0.890. Final score is 0.750. Manual event validation records 'activist_restructuring' with event score 2. Market validation data is not currently available.
23,LEN,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,"High NLP signal, financial caution",Fail,Insufficient data,0.7457,0.6603,0.945,0.1484,5079939000.0,1.68,67.391,0.04,1.213,0,,2.0,1,1,,,,spinoff_divestiture,2,2025-02-07,"Lennar completed the spin-off of Millrose Properties, separating land assets into a REIT-like vehicle.",Lennar investor release,Portfolio restructuring.,LEN ranks #23 under the official 70/30 NLP-finance model. NLP stagnation score is 0.660. Financial feasibility score is 0.945. Final score is 0.746. Manual event validation records 'spinoff_divestiture' with event score 2. Market validation data is not currently available.
24,HAL,Energy,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7453,0.7262,0.79,0.088,2079000000.0,1.409,24.304,0.271,0.29,0,,2.0,1,1,,,,layoffs_restructuring,2,2025-09-05,Halliburton reduced workforce as oilfield activity slowed and sector pressure increased.,Reuters,Workforce reduction pressure.,HAL ranks #24 under the official 70/30 NLP-finance model. NLP stagnation score is 0.726. Financial feasibility score is 0.790. Final score is 0.745. Manual event validation records 'layoffs_restructuring' with event score 2. Market validation data is not currently available.
25,HLT,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Situational,0.7438,0.6854,0.88,0.1754,1795000000.0,0.014,5.361,0.064,54.394,0,,1.0,1,0,,,,major_acquisition_buyer,1,2024-03-14,"Hilton acquired Graduate Hotels, its first brand acquisition since 1999.",Reuters / Hilton release,Buyer-side strategic acquisition.,HLT ranks #25 under the official 70/30 NLP-finance model. NLP stagnation score is 0.685. Financial feasibility score is 0.880. Final score is 0.744. Manual event validation records 'major_acquisition_buyer' with event score 1. Market validation data is not currently available.
26,DPZ,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Marginal,0.7411,0.7351,0.755,0.1084,485468000.0,0.016,4.171,0.117,33.025,0,,0.0,0,0,,,,none,0,,,,,DPZ ranks #26 under the official 70/30 NLP-finance model. NLP stagnation score is 0.735. Financial feasibility score is 0.755. Final score is 0.741. Market validation data is not currently available.
27,AMAT,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7406,0.6487,0.955,0.2864,7594000000.0,0.65,32.432,0.135,1.429,0,,0.0,0,0,,,,none,0,,,,,AMAT ranks #27 under the official 70/30 NLP-finance model. NLP stagnation score is 0.649. Financial feasibility score is 0.955. Final score is 0.741. Market validation data is not currently available.
28,FTNT,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7406,0.6572,0.935,0.3264,1731400000.0,0.734,59.1,0.151,1.741,0,,0.0,0,0,,,,none,0,,,,,FTNT ranks #28 under the official 70/30 NLP-finance model. NLP stagnation score is 0.657. Financial feasibility score is 0.935. Final score is 0.741. Market validation data is not currently available.
29,BF-B,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Marginal,0.7378,0.7604,0.685,0.1081,457000000.0,2.214,12.522,0.152,0.171,0,,0.0,0,0,,,,none,0,,,,,BF-B ranks #29 under the official 70/30 NLP-finance model. NLP stagnation score is 0.760. Financial feasibility score is 0.685. Final score is 0.738. Market validation data is not currently available.
30,TMO,Health Care,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7374,0.6528,0.935,0.1616,6927000000.0,0.279,12.797,0.187,3.129,1,2.0,4.0,1,1,-0.3486,-0.3556,0.3228,divestiture,2,2026-04-27,Thermo Fisher agreed to sell its microbiology business to private equity firm Astorg for about $1.075B.,Thermo Fisher / Reuters,Directly relevant because it is a PE-backed divestiture and portfolio reshaping event.,TMO ranks #30 under the official 70/30 NLP-finance model. NLP stagnation score is 0.653. Financial feasibility score is 0.935. Final score is 0.737. Manual event validation records 'divestiture' with event score 2. The company shows 2 market-pressure signal(s). Maximum drawdown was -35.6%. Relative return vs SPY was -34.9%.
31,MO,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Situational,0.7364,0.6577,0.92,0.3713,9091000000.0,2.109,9.72,0.017,0.365,0,,0.0,0,0,,,,none,0,,,,,MO ranks #31 under the official 70/30 NLP-finance model. NLP stagnation score is 0.658. Financial feasibility score is 0.920. Final score is 0.736. Market validation data is not currently available.
32,CSCO,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Fail,Situational,0.735,0.6278,0.98,0.334,19037000000.0,0.721,34.634,0.054,1.679,0,,0.0,0,0,,,,none,0,,,,,CSCO ranks #32 under the official 70/30 NLP-finance model. NLP stagnation score is 0.628. Financial feasibility score is 0.980. Final score is 0.735. Market validation data is not currently available.
33,MCD,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7335,0.7199,0.765,0.2846,7255000000.0,3.194,8.558,0.196,0.189,0,,0.0,0,0,,,,none,0,,,,,MCD ranks #33 under the official 70/30 NLP-finance model. NLP stagnation score is 0.720. Financial feasibility score is 0.765. Final score is 0.733. Market validation data is not currently available.
34,LDOS,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7307,0.6903,0.825,0.0639,980000000.0,0.649,4.224,0.217,1.586,0,,0.0,0,0,,,,none,0,,,,,LDOS ranks #34 under the official 70/30 NLP-finance model. NLP stagnation score is 0.690. Financial feasibility score is 0.825. Final score is 0.731. Market validation data is not currently available.
35,HUBB,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.7246,0.6687,0.855,0.1331,715100000.0,0.107,14.191,0.141,5.703,1,1.0,1.0,1,0,-0.0205,-0.306,0.3245,none,0,,,,,HUBB ranks #35 under the official 70/30 NLP-finance model. NLP stagnation score is 0.669. Financial feasibility score is 0.855. Final score is 0.725. The company shows 1 market-pressure signal(s). Maximum drawdown was -30.6%. Relative return vs SPY was -2.1%.
36,ODFL,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7243,0.6984,0.785,0.2731,811826000.0,0.023,1363.463,0.385,18.041,0,,0.0,0,0,,,,none,0,,,,,ODFL ranks #36 under the official 70/30 NLP-finance model. NLP stagnation score is 0.698. Financial feasibility score is 0.785. Final score is 0.724. Market validation data is not currently available.
37,NDSN,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7242,0.6488,0.9,0.2308,606699000.0,2.986,26.392,0.047,0.277,0,,0.0,0,0,,,,none,0,,,,,NDSN ranks #37 under the official 70/30 NLP-finance model. NLP stagnation score is 0.649. Financial feasibility score is 0.900. Final score is 0.724. Market validation data is not currently available.
38,IEX,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.724,0.6785,0.83,0.1915,626800000.0,2.496,17.866,0.114,0.318,0,,0.0,0,0,,,,none,0,,,,,IEX ranks #38 under the official 70/30 NLP-finance model. NLP stagnation score is 0.679. Financial feasibility score is 0.830. Final score is 0.724. Market validation data is not currently available.
39,FIX,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Ideal,0.722,0.6564,0.875,0.1046,544730000.0,0.15,40.695,0.208,7.971,0,,0.0,0,0,,,,none,0,,,,,FIX ranks #39 under the official 70/30 NLP-finance model. NLP stagnation score is 0.656. Financial feasibility score is 0.875. Final score is 0.722. Market validation data is not currently available.
40,ITW,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7207,0.646,0.895,0.1915,3084000000.0,0.36,20.0,0.105,1.983,1,1.0,1.0,1,0,-0.1965,-0.1994,0.2315,none,0,,,,,ITW ranks #40 under the official 70/30 NLP-finance model. NLP stagnation score is 0.646. Financial feasibility score is 0.895. Final score is 0.721. The company shows 1 market-pressure signal(s). Maximum drawdown was -19.9%. Relative return vs SPY was -19.6%.
41,NOW,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Fail,Situational,0.7166,0.6487,0.875,0.3014,2704000000.0,0.069,23.091,0.524,29.391,0,,0.0,0,0,,,,none,0,,,,,NOW ranks #41 under the official 70/30 NLP-finance model. NLP stagnation score is 0.649. Financial feasibility score is 0.875. Final score is 0.717. Market validation data is not currently available.
42,WDAY,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,"High NLP signal, financial caution",Fail,Marginal,0.7163,0.6869,0.785,0.2641,1917000000.0,7.71,10.765,0.601,0.644,0,,0.0,0,0,,,,none,0,,,,,WDAY ranks #42 under the official 70/30 NLP-finance model. NLP stagnation score is 0.687. Financial feasibility score is 0.785. Final score is 0.716. Market validation data is not currently available.
43,BA,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,"High NLP signal, financial caution",Fail,Marginal,0.7143,0.7162,0.71,0.057,4433000000.0,1.175,-0.314,1.403,3.469,0,,0.0,0,0,,,,none,0,,,,,BA ranks #43 under the official 70/30 NLP-finance model. NLP stagnation score is 0.716. Financial feasibility score is 0.710. Final score is 0.714. Market validation data is not currently available.
44,DELL,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Marginal,0.7136,0.6702,0.815,0.0669,5920000000.0,0.597,3.509,0.316,1.138,0,,0.0,0,0,,,,none,0,,,,,DELL ranks #44 under the official 70/30 NLP-finance model. NLP stagnation score is 0.670. Financial feasibility score is 0.815. Final score is 0.714. Market validation data is not currently available.
45,IDXX,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7129,0.6349,0.895,0.2111,772879000.0,0.371,36.806,0.11,1.718,1,2.0,2.0,1,1,0.1374,-0.2778,0.4137,none,0,,,,,IDXX ranks #45 under the official 70/30 NLP-finance model. NLP stagnation score is 0.635. Financial feasibility score is 0.895. Final score is 0.713. The company shows 2 market-pressure signal(s). Maximum drawdown was -27.8%. Relative return vs SPY was 13.7%.
46,EBAY,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7109,0.6299,0.9,0.1948,1970000000.0,0.702,7.216,0.191,1.178,0,,0.0,0,0,,,,none,0,,,,,EBAY ranks #46 under the official 70/30 NLP-finance model. NLP stagnation score is 0.630. Financial feasibility score is 0.900. Final score is 0.711. Market validation data is not currently available.
47,PM,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Fail,Situational,0.7106,0.6208,0.92,0.2241,7883000000.0,1.139,15.68,0.102,0.534,0,,0.0,0,0,,,,none,0,,,,,PM ranks #47 under the official 70/30 NLP-finance model. NLP stagnation score is 0.621. Financial feasibility score is 0.920. Final score is 0.711. Market validation data is not currently available.
48,CRM,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7099,0.6112,0.94,0.2725,9498000000.0,1.38,56.303,0.12,1.126,0,,0.0,0,0,,,,none,0,,,,,CRM ranks #48 under the official 70/30 NLP-finance model. NLP stagnation score is 0.611. Financial feasibility score is 0.940. Final score is 0.710. Market validation data is not currently available.
49,CTSH,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7098,0.6262,0.905,0.104,2013000000.0,0.003,298.778,0.098,223.667,0,,0.0,0,0,,,,none,0,,,,,CTSH ranks #49 under the official 70/30 NLP-finance model. NLP stagnation score is 0.626. Financial feasibility score is 0.905. Final score is 0.710. Market validation data is not currently available.
50,EQR,Real Estate,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,"High NLP signal, financial caution",Fail,Insufficient data,0.7095,0.6707,0.8,0.6179,1527067000.0,3.214,1289.108,0.002,0.185,1,1.0,1.0,1,0,-0.2692,-0.1943,0.2286,none,0,,,,,EQR ranks #50 under the official 70/30 NLP-finance model. NLP stagnation score is 0.671. Financial feasibility score is 0.800. Final score is 0.709. The company shows 1 market-pressure signal(s). Maximum drawdown was -19.4%. Relative return vs SPY was -26.9%.
51,LYB,Materials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7083,0.654,0.835,0.1023,3411000000.0,1.01,5.25,0.359,0.793,0,,0.0,0,0,,,,none,0,,,,,LYB ranks #51 under the official 70/30 NLP-finance model. NLP stagnation score is 0.654. Financial feasibility score is 0.835. Final score is 0.708. Market validation data is not currently available.
52,EW,Health Care,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7071,0.6587,0.82,0.1283,642800000.0,0.413,71.136,0.174,1.071,0,,0.0,0,0,,,,none,0,,,,,EW ranks #52 under the official 70/30 NLP-finance model. NLP stagnation score is 0.659. Financial feasibility score is 0.820. Final score is 0.707. Market validation data is not currently available.
53,CNC,Health Care,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Attractive,0.7054,0.6563,0.82,0.0518,7254000000.0,4.142,4.406,0.189,0.415,0,,0.0,0,0,,,,none,0,,,,,CNC ranks #53 under the official 70/30 NLP-finance model. NLP stagnation score is 0.656. Financial feasibility score is 0.820. Final score is 0.705. Market validation data is not currently available.
54,PH,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Fail,Situational,0.7025,0.6222,0.89,0.1363,2599000000.0,0.337,13.614,0.102,2.071,0,,0.0,0,0,,,,none,0,,,,,PH ranks #54 under the official 70/30 NLP-finance model. NLP stagnation score is 0.622. Financial feasibility score is 0.890. Final score is 0.703. Market validation data is not currently available.
55,DG,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Marginal,0.7025,0.7185,0.665,0.0179,691576000.0,1.254,15.529,0.516,0.167,0,,0.0,0,0,,,,none,0,,,,,DG ranks #55 under the official 70/30 NLP-finance model. NLP stagnation score is 0.719. Financial feasibility score is 0.665. Final score is 0.702. Market validation data is not currently available.
